repo1,repo2,score
https://github.com/justjavac/layoutit,https://github.com/PHPOffice/PHPExcel,20
https://github.com/AFNetworking/AFNetworking,https://github.com/IanLunn/jQuery-Parallax,56
https://github.com/AFNetworking/AFNetworking,https://github.com/google/material-design-icons,820
https://github.com/AFNetworking/AFNetworking,https://github.com/audreyr/favicon-cheat-sheet,313
https://github.com/ugol/pomodoro,https://github.com/tpope/vim-rails,22
https://github.com/ugol/pomodoro,https://github.com/vim-ruby/vim-ruby,11
https://github.com/rschmukler/agenda,https://github.com/mozilla/shumway,89
https://github.com/rschmukler/agenda,https://github.com/zohararad/audio5js,25
https://github.com/rschmukler/agenda,https://github.com/veltman/clmystery,28
https://github.com/rschmukler/agenda,https://github.com/twitter/ambrose,43
https://github.com/rschmukler/agenda,https://github.com/twitter/twitter-text-rb,15
https://github.com/rschmukler/agenda,https://github.com/zenorocha/browser-diet,44
https://github.com/rschmukler/agenda,https://github.com/poole/lanyon,16
https://github.com/rschmukler/agenda,https://github.com/d0ugal/locache,33
https://github.com/rschmukler/agenda,https://github.com/binaryjs/binaryjs,134
https://github.com/rschmukler/agenda,https://github.com/angular/angularjs-batarang,83
https://github.com/rschmukler/agenda,https://github.com/google/pepper.js,26
https://github.com/rschmukler/agenda,https://github.com/ServiceStack/ServiceStack.Text,16
https://github.com/rschmukler/agenda,https://github.com/coolwanglu/pdf2htmlEX,81
https://github.com/rschmukler/agenda,https://github.com/thoughtbot/formulaic,11
https://github.com/rschmukler/agenda,https://github.com/saebekassebil/teoria,24
https://github.com/rschmukler/agenda,https://github.com/dotcloud/docker-registry,36
https://github.com/levey/AwesomeMenu,https://github.com/bestwnh/IGLDropDownMenu,75
https://github.com/Cocoanetics/DTCoreText,https://github.com/FredrikNoren/ungit,80
https://github.com/Cocoanetics/DTCoreText,https://github.com/luisobo/Nocilla,223
https://github.com/chriso/node.io,https://github.com/deanmao/node-chimera,77
https://github.com/thomasdavis/backbonetutorials,https://github.com/fffunction/sassaparilla,47
https://github.com/thomasdavis/backbonetutorials,https://github.com/kitcambridge/evil.js,27
https://github.com/thomasdavis/backbonetutorials,https://github.com/topcoat/topcoat,166
https://github.com/thomasdavis/backbonetutorials,https://github.com/visionmedia/expresso,28
https://github.com/thomasdavis/backbonetutorials,https://github.com/toddmotto/fireshell,84
https://github.com/thomasdavis/backbonetutorials,https://github.com/apache/hadoop-common,15
