name,owner,organization,lang,url,created_at,description,stars,pushed_at
bootstrap,twbs,twbs,CSS,https://github.com/twbs/bootstrap,2011-07-29 21:19:00,"The most popular HTML, CSS, and JavaScript framework for developing responsive, mobile first projects on the web.",76106,2015-01-01 03:01:41
bootstrap,twbs,twbs,CSS,https://github.com/twbs/bootstrap,2011-07-29 21:19:00,"The most popular front-end framework for developing responsive, mobile first projects on the web.",72391,2014-09-27 01:20:59
bootstrap,twbs,twbs,CSS,https://github.com/twbs/bootstrap,2011-07-29 21:19:00,"Sleek, intuitive, and powerful front-end framework for faster and easier web development.",65171,2014-03-02 07:50:26
bootstrap,twbs,twbs,JavaScript,https://github.com/twbs/bootstrap,2011-07-29 21:19:00,"Sleek, intuitive, and powerful front-end framework for faster and easier web development.",63312,2014-01-18 22:29:11
bootstrap,twitter,twitter,JavaScript,https://github.com/twitter/bootstrap,2011-07-29 21:19:00,"Sleek, intuitive, and powerful front-end framework for faster and easier web development.",53678,2013-07-27 07:47:24
bootstrap,,twitter,JavaScript,https://github.com//bootstrap,2011-07-29 21:19:00,"Sleek, intuitive, and powerful front-end framework for faster and easier web development.",50197,2013-05-17 17:29:12
bootstrap,twitter,twitter,JavaScript,https://github.com/twitter/bootstrap,2011-07-29 21:19:00,"HTML, CSS, and JS toolkit from Twitter",38195,2012-10-03 00:01:25
node,joyent,joyent,JavaScript,https://github.com/joyent/node,2009-05-27 16:29:46,evented I/O for v8 javascript,33984,2014-12-31 21:16:33
angular.js,angular,angular,JavaScript,https://github.com/angular/angular.js,2010-01-06 00:34:37,HTML enhanced for web apps,33608,2014-12-31 14:09:50
d3,mbostock,,JavaScript,https://github.com/mbostock/d3,2010-09-27 17:22:42,A JavaScript visualization library for HTML and SVG.,33034,2014-12-30 17:06:00
jquery,jquery,jquery,JavaScript,https://github.com/jquery/jquery,2009-04-03 15:20:14,jQuery JavaScript Library,32966,2014-12-31 14:44:36
free-programming-books,vhf,,,https://github.com/vhf/free-programming-books,2013-10-11 06:50:37,,32689,2015-01-01 10:36:43
Font-Awesome,FortAwesome,FortAwesome,CSS,https://github.com/FortAwesome/Font-Awesome,2012-02-17 14:19:43,The iconic font and CSS toolkit,29278,2014-12-28 14:27:12
html5-boilerplate,h5bp,h5bp,JavaScript,https://github.com/h5bp/html5-boilerplate,2010-01-24 18:03:24,"A professional front-end template for building fast, robust, and adaptable web apps or sites.",27846,2014-12-23 06:50:18
html5-boilerplate,h5bp,h5bp,CSS,https://github.com/h5bp/html5-boilerplate,2010-01-24 18:03:24,"A professional front-end template for building fast, robust, and adaptable web apps or sites.",26237,2014-08-04 15:58:18
rails,rails,rails,Ruby,https://github.com/rails/rails,2008-04-11 02:19:47,Ruby on Rails,24459,2015-01-01 17:57:53
Font-Awesome,FortAwesome,FortAwesome,CSS,https://github.com/FortAwesome/Font-Awesome,2012-02-17 14:19:43,The iconic font and CSS framework,24134,2014-05-28 09:14:05
